Model,Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,114,70,40,4,420,95,179
Agfa ePhoto 1680,114,50,0,4,420,158,179
Agfa ePhoto CL18,45,0,0,2,0,0,179
Agfa ePhoto CL30,35,0,0,4,0,0,269
Agfa ePhoto CL30 Clik!,43,50,0,40,300,128,1299
Agfa ePhoto CL45,51,50,20,8,270,119,179
Agfa ePhoto CL50,102,0,0,8,0,0,179
Canon PowerShot 350,42,70,3,2,320,93,149
Canon PowerShot 600,50,40,10,1,460,160,139
Canon PowerShot A10,105,76,16,8,375,110,139
Canon PowerShot A100,39,20,5,8,225,110,139
Canon PowerShot A20,105,76,16,8,375,110,139
Canon PowerShot A200,39,20,5,8,225,110,139
Canon PowerShot A30,105,76,16,8,350,110,139
Canon PowerShot A300,33,20,5,32,225,111,139
Canon PowerShot A310,33,0,5,0,205,110,139
Canon PowerShot A40,105,76,16,8,350,110,139
Canon PowerShot A400,100,0,5,16,255,107,139
Canon PowerShot A410,131,0,1,16,195,103,139
